TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1545658522.405718,7.712007,4.310530,2.611558,0.747770,0.487765,10.767213,5.718842,2.980218,0.933406,0.507598,7.661910,3.651019,2.561603,0.686513,0.441327,9.169022,5.124465,2.161984,0.845366,0.555685,7.864991,3.622564,1.902260,0.607350,0.382082,9.101690,3.696944,2.011026,0.912695,0.482395,10.044769,4.539814,3.523554,1.541423,1.205043,6.758980,4.783939,1.337931,1.501288,0.906139,9.745607,5.058617,1.592743,1.654101,1.026819,8.164090,4.312715,1.612004,1.497281,1.278244,10.431405,5.234889,1.981862,0.698909,0.622095,7.422742,3.203663,1.992300,0.625970,0.396856,10.265119,5.071134,1.870740,0.756829,0.613422,10.400683,3.670519,2.458604,0.713239,0.424894,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658522.532082,5.266223,3.731945,2.210679,0.670789,0.362302,7.073116,4.521907,2.720114,0.763616,0.418121,5.455876,3.506493,2.175971,0.622656,0.349456,6.125221,4.388644,1.832294,0.722344,0.454929,4.636073,3.133405,1.544430,0.526651,0.350420,4.957544,3.101397,1.390113,0.847403,0.459178,5.910862,4.004126,2.613025,1.514139,1.143714,4.082546,5.002758,1.235925,1.583093,0.914336,5.850084,4.998807,1.400918,1.633914,0.991926,4.829133,3.995488,1.585554,1.380555,1.153025,7.229716,4.792057,1.601940,0.668167,0.505629,5.061350,2.890019,1.715834,0.597380,0.328054,10.916990,4.474237,1.591205,0.743319,0.484650,7.388638,3.427450,2.147516,0.667570,0.351644,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658522.658464,3.946474,3.169291,1.888320,0.656256,0.279518,4.859377,3.332270,2.460408,0.688845,0.371548,4.320640,3.330194,1.870739,0.609995,0.286275,4.442888,3.516543,1.596309,0.661663,0.371708,3.019486,2.586592,1.239801,0.463917,0.328444,3.000055,2.498217,0.953727,0.740545,0.441565,3.956726,3.427870,2.141612,1.434370,1.095294,3.054392,4.800874,1.380957,1.578737,0.955699,4.093445,4.710619,1.320017,1.581868,0.964300,3.299647,3.501183,1.627057,1.277001,1.020376,5.515979,4.292075,1.469456,0.691110,0.416906,3.902900,2.599671,1.566039,0.611010,0.286179,12.036418,3.823479,1.515513,0.774978,0.397672,5.604023,3.187311,1.974391,0.676817,0.302932,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658522.784847,3.387901,2.637883,1.641475,0.668047,0.240777,3.781473,2.291655,2.155169,0.705051,0.353151,3.818617,3.063170,1.650859,0.618863,0.251817,3.632344,2.650924,1.425571,0.634750,0.313652,2.417220,2.049115,0.967149,0.422970,0.309353,2.385140,1.958345,0.661027,0.609541,0.424366,3.235471,2.881107,1.976327,1.311591,1.060970,2.992987,4.315297,1.717327,1.461486,1.003163,3.485918,4.276144,1.302490,1.481804,0.928056,2.743750,2.956728,1.667818,1.168085,0.890034,4.606557,3.720784,1.512832,0.728430,0.361388,3.372520,2.321623,1.516256,0.634633,0.270179,12.771956,3.208572,1.551387,0.807084,0.361360,4.610223,2.899810,1.902066,0.703411,0.278005,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658522.911237,3.111640,2.169708,1.440604,0.675188,0.236308,3.261960,1.505048,1.795660,0.791667,0.351277,3.466497,2.678816,1.495227,0.619728,0.238442,3.127197,1.902746,1.278353,0.615373,0.280891,2.224694,1.582396,0.713464,0.402424,0.287294,2.240273,1.542793,0.467967,0.482138,0.402304,2.884399,2.417375,1.964924,1.185461,1.039322,3.250089,3.735320,2.151137,1.252436,1.029014,3.145982,3.776208,1.325957,1.331254,0.881444,2.418124,2.468435,1.665033,1.049826,0.781804,3.898880,3.094060,1.611714,0.750399,0.335103,2.920343,2.041869,1.508726,0.642295,0.274167,12.540800,2.718303,1.591384,0.810633,0.371914,3.968864,2.568877,1.861295,0.718301,0.270248,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.037635,2.782347,1.839815,1.275308,0.665885,0.254139,2.779156,1.024396,1.431044,0.918422,0.366051,3.046011,2.239638,1.388765,0.599391,0.240040,2.571913,1.357911,1.151437,0.598680,0.270934,2.069789,1.231332,0.498659,0.399933,0.263040,2.094670,1.269996,0.362291,0.392296,0.374878,2.542213,2.065168,2.058518,1.113093,1.026139,3.457163,3.202518,2.601337,1.019812,1.022146,2.696737,3.280840,1.415021,1.152663,0.844608,2.002117,2.117198,1.646267,0.935344,0.723847,3.178105,2.525501,1.689756,0.746989,0.333488,2.361040,1.795926,1.504611,0.627097,0.294864,11.779522,2.430890,1.574304,0.784757,0.419471,3.368081,2.287699,1.813993,0.711929,0.275511,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.164042,2.499098,1.737986,1.141354,0.643138,0.282090,2.323722,0.840789,1.135072,1.053445,0.399078,2.645204,1.890896,1.314762,0.561119,0.251581,2.008960,1.071802,1.054869,0.599214,0.277950,1.873132,1.034176,0.355293,0.414989,0.241499,1.880643,1.154694,0.339601,0.358247,0.344985,2.232761,1.861138,2.199133,1.111705,1.010384,3.593649,2.792364,2.960767,0.829129,0.985075,2.236309,2.858806,1.569915,0.973738,0.839456,1.580066,1.932708,1.644134,0.841072,0.731535,2.706985,2.170698,1.715674,0.727757,0.350735,1.887874,1.663883,1.477000,0.597139,0.329248,11.243110,2.351336,1.493293,0.747859,0.488295,2.923566,2.184574,1.740676,0.691207,0.293643,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.290453,2.533817,1.898695,1.039819,0.624365,0.313762,2.172652,0.893146,0.953900,1.175245,0.449449,2.505053,1.765907,1.254249,0.525229,0.271992,1.785624,1.045305,0.999257,0.636360,0.297860,1.815524,0.991854,0.312500,0.452942,0.229990,1.797392,1.184566,0.381874,0.385610,0.320727,2.113581,1.832899,2.254886,1.161754,0.980536,3.759818,2.513814,3.107191,0.716771,0.930668,2.095536,2.552475,1.725926,0.831795,0.875493,1.483650,1.888812,1.659657,0.791458,0.796783,2.861953,2.099320,1.696645,0.722804,0.383704,1.743642,1.701074,1.415133,0.572129,0.374502,11.068741,2.403728,1.392632,0.735775,0.561282,2.960840,2.316475,1.636560,0.679445,0.329048,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.416893,3.238455,2.299265,0.961516,0.629926,0.352886,2.697584,1.113020,0.878320,1.273575,0.516412,2.951612,1.936830,1.180769,0.514747,0.308834,2.292048,1.247725,0.973445,0.716481,0.335315,2.202884,1.086619,0.362516,0.523638,0.241124,2.227788,1.340745,0.451526,0.480760,0.319320,2.527198,2.028788,2.148112,1.252200,0.934951,4.177379,2.352179,2.970726,0.708718,0.883736,2.738530,2.387185,1.789038,0.792701,0.948213,2.193415,1.954196,1.651082,0.832132,0.895290,4.156320,2.306291,1.639184,0.767824,0.436474,2.294821,1.929332,1.307350,0.571509,0.431809,12.118368,2.641132,1.317370,0.783461,0.628795,3.850199,2.663080,1.492842,0.696408,0.388134,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1545658523.543103,4.947393,2.855193,0.909668,0.677139,0.406726,4.085419,1.447106,0.873582,1.350257,0.597017,4.291301,2.366292,1.089516,0.546144,0.370606,3.781942,1.610741,0.964262,0.831998,0.396975,3.284148,1.282400,0.482915,0.634338,0.285192,3.593034,1.568355,0.527892,0.652326,0.356889,3.908532,2.449800,1.914610,1.391959,0.881145,5.184105,2.264348,2.585530,0.823938,0.869464,4.629401,2.346207,1.695637,0.930179,1.040016,4.176660,2.097779,1.574595,1.013782,0.995554,7.120520,2.717089,1.569002,0.893031,0.512769,3.874588,2.302992,1.162717,0.608804,0.502014,15.423080,3.161728,1.309652,0.916200,0.687411,5.964713,3.133492,1.324061,0.752374,0.470941,4,4,4,4,4,4,4,4,4,4,4,4,4,4
