AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA
1.735244,0.685695,0.662293,0.296606,0.151082,1.812115,0.621219,0.407116,0.400338,0.221411,1.725221,0.843866,0.421162,0.281022,0.197965,0.859573,0.32079,0.082976,0.108096,0.158861,1.707843,2.640967,1.275519,1.372187,0.943723,0.819403,0.466893,1.372461,0.418142,0.659646,1.820883,0.967694,0.880532,0.581375,0.369779,0.771366,0.629603,0.558202,0.655344,0.404512,2.342177,1.79696,0.662603,0.488156,0.158834,1.522869,0.679096,0.507397,0.319294,0.108949,3.180488,2.158288,1.084981,0.499729,0.245074,0.860319,0.89013,0.3226,0.237219,0.11561
3.222205,0.731372,0.601215,0.284685,0.14056,3.190827,0.627757,0.444849,0.426065,0.20578,2.561221,0.757587,0.389999,0.262537,0.187935,0.921187,0.347404,0.085579,0.112413,0.138156,2.112367,2.168827,1.348377,1.305122,0.855778,0.935404,0.468459,1.272338,0.413649,0.74935,1.923532,0.99117,0.751214,0.554934,0.373247,0.705117,0.655086,0.442959,0.633152,0.394154,3.064968,1.978804,0.715466,0.452145,0.144535,2.329735,0.687878,0.494661,0.293132,0.100428,6.008615,2.547868,1.11706,0.442998,0.209343,2.009709,1.042328,0.288991,0.210706,0.109306
6.57905,0.930307,0.510041,0.279753,0.152618,6.24247,0.62564,0.454886,0.440295,0.202967,4.253373,0.717366,0.347355,0.256516,0.192063,0.914013,0.351897,0.089101,0.121143,0.120755,2.346309,1.80616,1.46642,1.304011,0.814412,1.048226,0.559023,1.144695,0.419644,0.829449,2.033275,1.044865,0.698636,0.56326,0.400222,0.744875,0.660431,0.379948,0.617291,0.42555,4.494238,2.010821,0.740123,0.445382,0.150799,4.029279,0.753987,0.445486,0.277654,0.111141,12.244462,2.912068,1.107018,0.40798,0.196803,4.911645,1.255451,0.251268,0.188719,0.115239
12.001179,1.274876,0.426036,0.280217,0.183024,11.08322,0.651543,0.436554,0.434321,0.212264,6.830827,0.727776,0.32065,0.26002,0.209816,0.835784,0.330647,0.095937,0.130796,0.110246,2.324766,1.650697,1.589013,1.378636,0.810168,1.126953,0.732525,1.015921,0.440268,0.891983,2.115282,1.117945,0.747415,0.601192,0.448768,0.86887,0.654382,0.373271,0.59912,0.499086,6.580023,1.906816,0.733858,0.453614,0.175386,6.700543,0.877533,0.382805,0.271549,0.13826,22.16102,3.23836,1.062725,0.385738,0.208363,9.758256,1.537322,0.224902,0.17179,0.130492
18.463102,1.675962,0.375551,0.289453,0.222409,16.845099,0.721864,0.401744,0.413283,0.230725,9.720502,0.778732,0.331455,0.274571,0.237092,0.695543,0.289656,0.10812,0.140772,0.108292,2.093905,1.736989,1.689565,1.542327,0.822676,1.177662,0.947603,0.915766,0.473229,0.935887,2.159198,1.188254,0.873591,0.649209,0.512479,1.008663,0.648206,0.409272,0.580789,0.596716,8.820053,1.726198,0.691274,0.465465,0.212284,9.8172,1.041566,0.328352,0.278103,0.175025,33.736754,3.501179,0.984479,0.371967,0.238728,15.737964,1.843342,0.215989,0.163184,0.150477
24.405383,1.989743,0.363081,0.310688,0.259074,22.096328,0.812228,0.365115,0.38982,0.253963,12.28845,0.837417,0.384201,0.301176,0.266252,0.543587,0.242513,0.124471,0.151936,0.114079,1.762216,1.993243,1.749491,1.790919,0.845913,1.231926,1.145757,0.85341,0.511316,0.960507,2.219881,1.228253,1.014998,0.680731,0.577723,1.142092,0.646095,0.463476,0.563946,0.688724,10.721664,1.539931,0.614298,0.478488,0.252872,12.720084,1.200244,0.296915,0.299594,0.212327,44.266562,3.673205,0.871854,0.368446,0.278067,21.361999,2.082296,0.217918,0.16728,0.170215
27.59094,2.081939,0.372325,0.346436,0.282472,24.879936,0.883358,0.341098,0.376206,0.276737,13.50971,0.869349,0.464346,0.3403,0.288096,0.40432,0.204152,0.142419,0.164789,0.124346,1.425985,2.300482,1.768064,2.091676,0.903907,1.284802,1.293543,0.830295,0.548728,0.969222,2.250836,1.226674,1.114608,0.680969,0.62732,1.177758,0.646829,0.516391,0.546405,0.747567,11.555586,1.402143,0.527121,0.497931,0.287681,14.248589,1.300548,0.292699,0.335242,0.241183,49.799616,3.713328,0.737697,0.3823,0.313936,24.599849,2.150517,0.219249,0.188216,0.184893
27.020427,1.916284,0.375124,0.394964,0.288719,24.327815,0.909654,0.330924,0.377999,0.292749,13.05094,0.877689,0.541222,0.388294,0.296919,0.316645,0.185293,0.158803,0.177117,0.134384,1.183021,2.56118,1.772132,2.401143,1.036613,1.339998,1.398149,0.863652,0.579829,0.97964,2.269872,1.203961,1.149594,0.656336,0.651807,1.149904,0.656934,0.557606,0.52096,0.761348,11.037236,1.355264,0.46895,0.52502,0.310418,13.973853,1.329376,0.309672,0.377573,0.256781,48.691897,3.619259,0.619041,0.416647,0.336961,24.451348,1.993474,0.214081,0.226941,0.191808
22.731251,1.565564,0.356307,0.448664,0.282495,20.497789,0.872249,0.326613,0.39153,0.298408,10.9574,0.886672,0.590221,0.436608,0.292923,0.280863,0.184602,0.170904,0.184671,0.140549,1.038984,2.718332,1.79271,2.677624,1.272877,1.367382,1.484305,0.980677,0.605778,1.018364,2.239659,1.194647,1.138354,0.633244,0.65407,1.081669,0.692167,0.585478,0.487863,0.735677,9.439239,1.428312,0.485731,0.558136,0.321793,11.90727,1.314773,0.347938,0.416596,0.260375,41.421225,3.50836,0.584227,0.470433,0.345717,20.869001,1.662576,0.210072,0.27924,0.192046
16.44994,1.181473,0.321163,0.494284,0.274738,14.889455,0.77645,0.319615,0.407051,0.295073,8.080855,0.924375,0.601697,0.47442,0.282867,0.289202,0.194432,0.177459,0.183313,0.14207,0.968638,2.789036,1.835633,2.875603,1.602282,1.393029,1.581026,1.193088,0.63277,1.103391,2.226309,1.230681,1.123479,0.634729,0.647154,1.104768,0.764108,0.606481,0.452078,0.689097,7.551693,1.623798,0.607906,0.586103,0.328112,8.94788,1.301244,0.406997,0.441746,0.258575,31.167414,3.55237,0.694125,0.534238,0.346403,15.370453,1.291198,0.221544,0.333531,0.190334
10.354786,0.904303,0.281188,0.517111,0.275583,9.399606,0.649444,0.301921,0.412698,0.288342,5.410971,0.996896,0.580709,0.492982,0.276534,0.30525,0.205764,0.177405,0.171856,0.140913,0.903403,2.822875,1.875793,2.941989,1.961085,1.391964,1.719457,1.475466,0.665145,1.226286,2.222862,1.333982,1.132912,0.663676,0.645745,1.259849,0.873639,0.62362,0.420888,0.642076,6.209661,1.923798,0.81784,0.594388,0.336892,6.15181,1.316913,0.478345,0.445532,0.258966,21.636031,3.868836,0.947308,0.589593,0.346968,9.892144,1.018562,0.254399,0.374173,0.191806
6.065464,0.802806,0.251201,0.509573,0.28784,5.383182,0.542883,0.274813,0.402023,0.283839,3.667261,1.085776,0.551909,0.491162,0.280331,0.325055,0.215938,0.170682,0.154067,0.140116,0.863978,2.884975,1.879458,2.84706,2.252121,1.427672,1.918368,1.758614,0.708322,1.350662,2.324473,1.490541,1.155657,0.70895,0.656364,1.581583,0.995594,0.629951,0.40473,0.606014,5.936044,2.263995,1.052048,0.580312,0.351366,4.34646,1.365304,0.554899,0.428306,0.264867,15.53581,4.411487,1.272294,0.621732,0.351451,6.027247,0.915781,0.30269,0.38977,0.198375
4.148068,0.839027,0.240737,0.473884,0.305846,3.377707,0.496776,0.245367,0.375794,0.284755,3.042169,1.145766,0.541174,0.473526,0.293273,0.328129,0.226215,0.158039,0.137067,0.142051,0.820684,3.030136,1.823821,2.598533,2.39035,1.448157,2.158202,1.965613,0.768981,1.430187,2.462424,1.655805,1.15826,0.76147,0.674833,1.961838,1.081879,0.61954,0.4109,0.580957,6.658976,2.51146,1.23029,0.557487,0.368769,3.764007,1.406194,0.628879,0.397038,0.273511,13.519943,4.927025,1.56109,0.626615,0.359154,4.334247,0.948747,0.352287,0.378177,0.207669
3.982349,0.926916,0.25001,0.41971,0.318978,2.85795,0.53587,0.221236,0.34099,0.290348,3.213679,1.144406,0.561682,0.446549,0.307601,0.33123,0.239226,0.141761,0.128044,0.146719,0.812205,3.251347,1.704417,2.230357,2.338094,1.481579,2.375817,2.041145,0.840424,1.433361,2.632642,1.76687,1.115029,0.81834,0.688134,2.283144,1.097659,0.592314,0.4389,0.560547,7.831545,2.570907,1.297073,0.544257,0.382581,4.020332,1.40049,0.691945,0.362097,0.278011,14.087764,5.145188,1.72314,0.609286,0.367564,4.326726,1.038064,0.385888,0.3487,0.214406
4.42033,0.99968,0.269492,0.363848,0.319261,2.898032,0.658526,0.212236,0.306836,0.297963,3.615195,1.085971,0.601113,0.42026,0.314681,0.3167,0.25736,0.124688,0.131069,0.151579,0.800149,3.499756,1.519291,1.797615,2.126658,1.471513,2.495505,1.950753,0.911366,1.363653,2.69525,1.782703,1.01466,0.882423,0.683957,2.409082,1.043252,0.547936,0.477897,0.539292,8.807446,2.446117,1.237778,0.553288,0.387752,4.472182,1.339505,0.729086,0.336224,0.272854,15.184789,4.939325,1.713854,0.583597,0.376647,4.931323,1.118226,0.392395,0.319626,0.214436
4.619043,1.043667,0.288192,0.321612,0.306169,2.903108,0.890018,0.230045,0.27946,0.305392,3.851234,0.9991,0.631567,0.40172,0.310708,0.293935,0.281135,0.109737,0.143811,0.153183,0.796958,3.72362,1.28324,1.36899,1.842341,1.468241,2.471438,1.721809,0.976233,1.256062,2.650973,1.693566,0.871404,0.951213,0.660155,2.325857,0.94494,0.488749,0.508913,0.516023,9.218442,2.196947,1.087279,0.5815,0.384165,4.667787,1.24185,0.729132,0.326491,0.258013,15.6331,4.339043,1.567883,0.561592,0.389288,5.363515,1.154093,0.376311,0.30741,0.206657
4.249202,1.101047,0.306624,0.302584,0.285705,2.870247,1.279335,0.283178,0.26061,0.310722,3.727132,0.936691,0.637032,0.393766,0.297484,0.263049,0.309451,0.102616,0.159088,0.149703,0.810776,3.922804,1.052393,1.012333,1.582904,1.511504,2.32204,1.441459,1.039695,1.159345,2.50068,1.529829,0.723303,1.018155,0.627745,2.068979,0.842884,0.423937,0.518144,0.493707,8.926345,1.933223,0.912748,0.615525,0.375982,4.43363,1.151915,0.700771,0.334909,0.238512,15.252726,3.600068,1.372222,0.550245,0.408574,5.227345,1.177816,0.35359,0.319159,0.193006
3.513036,1.16777,0.33054,0.306388,0.264142,2.975518,1.837082,0.36798,0.248085,0.31106,3.330991,0.914017,0.616328,0.395029,0.278587,0.232062,0.341731,0.108409,0.16861,0.14184,0.879558,4.129186,0.900275,0.780331,1.412546,1.660076,2.12596,1.227593,1.109193,1.108488,2.355858,1.350183,0.633966,1.071958,0.601043,1.767653,0.771735,0.374996,0.505865,0.475272,8.204859,1.714881,0.77966,0.638572,0.368291,3.932645,1.079816,0.662202,0.358461,0.219888,14.725601,2.919723,1.210148,0.549369,0.433953,4.707132,1.18735,0.336744,0.349127,0.17668
2.656232,1.210966,0.364917,0.322339,0.244979,3.235899,2.483193,0.465849,0.238418,0.303617,2.821457,0.903921,0.583194,0.399415,0.257668,0.215133,0.374881,0.129502,0.166823,0.132693,1.02672,4.333352,0.836342,0.68996,1.340937,1.922318,1.954648,1.132382,1.184863,1.103276,2.352771,1.2011,0.639347,1.099141,0.589627,1.57831,0.735701,0.356686,0.479777,0.462777,7.386741,1.53445,0.712217,0.635344,0.364638,3.401078,1.009596,0.630993,0.387986,0.20642,14.527132,2.381323,1.115203,0.550504,0.460527,3.990362,1.155057,0.328988,0.380195,0.161204
1.896394,1.197939,0.404518,0.334252,0.229036,3.583193,3.046335,0.545394,0.227739,0.287441,2.322274,0.873546,0.551934,0.397768,0.237796,0.224785,0.401031,0.163169,0.15311,0.126213,1.216229,4.461329,0.827931,0.722537,1.330544,2.203939,1.850921,1.140689,1.251341,1.111884,2.491329,1.119147,0.737855,1.08829,0.592687,1.605096,0.725923,0.374617,0.44832,0.458685,6.62973,1.364278,0.688136,0.601335,0.366026,2.93887,0.926539,0.61358,0.41154,0.201325,14.415682,1.99365,1.059638,0.542119,0.481942,3.2947,1.066123,0.324678,0.392463,0.149743
1.282302,1.107487,0.436797,0.329169,0.216911,3.83987,3.343121,0.576486,0.213743,0.265032,1.829058,0.800062,0.524777,0.381366,0.221629,0.253739,0.412189,0.203123,0.131445,0.124798,1.375309,4.441457,0.844602,0.841456,1.324206,2.361612,1.827408,1.200113,1.291985,1.096136,2.625307,1.127446,0.896174,1.041325,0.600355,1.813335,0.734914,0.432386,0.417411,0.464091,5.773942,1.169829,0.665621,0.544075,0.37265,2.511806,0.819546,0.597074,0.418609,0.206625,13.758063,1.697294,0.990429,0.517462,0.496337,2.617853,0.915877,0.316602,0.374341,0.144869
0.910924,0.96115,0.444074,0.304301,0.211751,3.883539,3.255117,0.540971,0.197717,0.243328,1.438531,0.69869,0.4913,0.346634,0.212725,0.29571,0.404362,0.238512,0.108037,0.127791,1.431833,4.277906,0.862855,1.007718,1.278375,2.291712,1.877935,1.247567,1.29842,1.040516,2.642849,1.218091,1.067077,0.970227,0.601798,2.115553,0.755001,0.524727,0.388652,0.476889,4.837432,0.963121,0.614969,0.476394,0.385426,2.117432,0.709719,0.559414,0.404217,0.223004,12.213884,1.435636,0.87707,0.476543,0.508389,2.088627,0.741516,0.298343,0.328215,0.148468
