AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA
29585.22109,5426.791011,2667.966246,1505.150797,358.064273,34793.56847,6227.181402,3023.595555,1693.264765,391.025148,30877.77315,5482.922043,2644.230518,1470.881998,339.998051,4254.738172,1070.324523,611.310064,419.140391,128.062551,36871.72287,6520.101634,3095.71837,1720.289363,393.675396,6747.310666,1771.021852,905.686048,609.961701,184.843856,20491.7534,3927.333727,1937.627843,1141.086456,280.968717,15960.24928,3140.840348,1578.852633,941.92882,225.892476,2784.490918,579.095345,299.974912,184.089027,50.056367,9255.431832,1868.664733,954.455207,574.119848,150.248421,36227.44784,6466.524491,3136.548223,1725.191554,399.514263,29453.42357,5375.426602,2634.527915,1484.317082,350.557381
25438.56011,5935.041132,2728.684469,1583.556165,366.731265,29911.53702,6808.428333,3086.550523,1782.696438,400.46208,26542.70699,5994.583389,2702.791931,1547.528581,348.074314,3692.277954,1165.596206,623.864785,439.767366,131.83304,31705.84002,7127.500158,3167.735458,1811.158598,403.933818,5815.375373,1942.233489,943.093817,639.479044,189.912413,17649.275,4293.713265,1979.62356,1198.254528,289.428632,13757.44183,3432.935705,1613.159599,986.886683,232.767264,2398.439336,632.608546,306.86883,193.204922,51.284607,7970.328158,2041.126303,973.382363,601.993633,153.920177,31142.96272,7072.454651,3206.321837,1814.956355,409.69464,25314.68414,5881.922439,2693.232865,1559.497571,359.056783
20050.09314,5612.625522,2734.180618,1567.522571,367.618351,23560.67176,6438.03661,3081.394537,1763.530447,401.2826,20907.6376,5667.620643,2704.965332,1531.685242,348.854905,2949.197899,1098.110381,625.564943,433.935008,133.017963,24994.1214,6739.213474,3168.892109,1792.89549,404.986398,4619.858473,1843.383081,967.276475,632.389745,189.744466,13951.97442,4060.100281,1978.388351,1183.386152,291.094916,10881.65128,3246.535917,1616.866733,972.551775,234.873512,1900.048405,597.855626,308.261458,190.696291,51.543495,6304.847896,1928.179688,974.043075,593.774288,154.548784,24537.3912,6692.677907,3203.101334,1795.692801,410.901047,19945.13496,5566.501343,2696.973843,1541.374528,359.991215
15969.85216,4595.561145,2756.417099,1470.430655,372.438363,18721.59063,5269.583188,3088.016631,1651.515711,406.343251,16635.40705,4638.720136,2721.588403,1436.62076,353.498225,2385.67619,898.171944,636.582574,405.357101,135.655334,19901.0392,5514.885271,3177.780592,1681.003697,409.414839,3721.353093,1520.244441,1001.994736,593.697271,190.49027,11176.47152,3327.766683,1992.651339,1106.339567,294.780876,8723.496648,2663.825544,1639.118822,908.323618,238.920559,1533.722575,490.330585,313.318223,178.354473,52.441773,5067.206812,1579.776478,986.519682,555.146566,157.041008,19535.36771,5485.643691,3209.037399,1683.787986,415.823091,15892.22809,4562.851861,2716.389889,1443.643998,364.600152
15173.44927,3256.068082,2844.485618,1320.437391,392.84262,17678.71781,3726.491689,3160.656793,1478.273378,428.01118,15780.06994,3282.471651,2800.721359,1289.491815,372.864184,2297.698926,642.553739,675.523052,367.965642,145.491408,18843.23924,3896.23756,3247.389364,1506.87714,429.654266,3575.650552,1095.927039,1068.359289,542.475185,200.917265,10737.62955,2372.409398,2070.616565,993.261072,310.365852,8409.391943,1907.364487,1721.488393,821.079647,253.231545,1497.860076,351.537395,329.945347,162.177532,56.212432,4911.624646,1130.226067,1037.008776,504.736226,168.080344,18524.18081,3888.763574,3279.544787,1510.872513,436.790856,15128.72012,3238.419232,2799.21724,1294.432701,384.072376
18171.81245,2045.168542,3030.206566,1159.922923,434.717525,20967.80762,2324.076251,3338.003109,1289.148254,471.756422,18851.17537,2052.234144,2974.795267,1130.51006,412.019581,2794.831112,424.510032,755.317866,346.166605,168.652494,22366.14681,2421.329424,3417.66243,1315.570498,471.525821,4343.586045,722.44803,1182.562086,512.582184,229.915766,13073.85582,1526.555933,2246.682732,887.500136,344.964109,10318.74266,1246.366355,1893.799321,755.890423,285.298419,1861.235601,231.898002,363.87678,152.463317,65.226749,6065.996149,742.558222,1144.500669,474.392621,194.659334,22040.73776,2433.907557,3453.890623,1321.646473,479.384045,18157.50029,2038.202325,2976.307901,1135.447016,424.143709
23946.83108,1316.668452,3311.804542,1017.876854,496.642463,27363.45681,1471.353511,3623.590541,1114.180346,535.090122,24774.70806,1304.465725,3243.703608,986.746131,469.108755,3760.468181,314.600796,875.474658,358.317975,208.339023,29142.33944,1516.461162,3694.791924,1136.487812,532.951292,5842.022635,517.175842,1346.422502,529.302725,281.767496,17530.27318,1043.679573,2523.179702,821.045848,400.211653,13966.47905,884.724579,2157.150326,745.631619,338.389243,2540.300166,169.30915,415.441253,156.767905,80.705566,8257.444577,539.078133,1309.940823,487.393375,240.347532,28774.43946,1542.91915,3735.02137,1144.942344,541.310242,23957.59391,1311.216946,3245.748759,994.968921,483.610013
30326.33545,1206.759539,3652.632978,917.388094,571.093948,34350.29984,1333.121338,3984.98745,979.091453,609.717674,31290.07036,1178.999363,3573.970848,880.52381,536.947557,4876.479964,333.035195,1017.553049,409.10829,261.796264,36492.37352,1352.471446,4050.166383,995.052175,605.968525,7579.806701,517.222279,1539.457464,598.718179,352.127701,22552.83818,1007.950012,2861.665755,810.935114,470.90428,18130.1333,886.195814,2473.896024,801.405132,408.786903,3315.882791,174.983335,477.429036,176.952568,101.50175,10773.14815,556.090128,1509.59132,549.505532,301.768887,36074.54943,1385.006651,4090.627989,1005.826683,614.532321,30349.86091,1192.015491,3572.395249,895.335377,555.37382
35063.0773,1622.373214,3950.947974,868.859434,644.676164,39402.61848,1808.982037,4314.921299,898.940502,682.13939,36079.26344,1585.543728,3867.309759,823.395372,603.363494,5780.726038,449.617226,1140.830104,484.505372,318.995131,41740.75758,1824.610661,4378.449715,906.86281,677.262616,9001.732713,679.126506,1708.81022,701.51226,426.90379,26442.4594,1334.913954,3163.870892,851.309036,544.231628,21432.57839,1175.775426,2753.441091,904.440829,484.234115,3939.243072,233.680795,532.370538,207.266444,123.634453,12797.93033,744.514458,1686.824307,643.083719,367.218289,41297.62588,1856.612058,4414.017617,919.997795,685.827183,35085.41256,1589.554959,3858.269212,846.666034,626.560667
36567.39464,2383.057508,4092.215819,872.137951,702.51129,40815.87401,2700.295064,4488.072749,879.325489,738.002171,37532.99556,2348.061322,4011.956605,817.950195,655.098024,6168.741807,613.671295,1202.205704,558.556207,366.051528,43117.64943,2728.19449,4554.340507,879.058607,732.553784,9646.029883,923.686716,1793.923821,802.474433,487.513729,27900.17894,1874.321408,3320.338362,920.47631,604.329002,22779.93066,1623.320034,2896.302591,1016.965106,548.123944,4206.03965,319.751841,561.125031,237.380274,141.688947,13665.78158,1021.641227,1779.683494,736.141431,420.766226,42695.60588,2754.981686,4581.450955,895.214315,741.071124,36581.92855,2327.799385,3993.396522,849.251339,682.722803
